	Unnamed: 0	Unnamed: 0.1	LABEL	SENTENCE	WORDS	SINGLE
0	0	0	其它#其它	一个词来形容一下我	一个 词来 形容 一下 我	一 个 词 来 形 容 一 下 我
1	1	1	其它#其它	一加一等于多少	一加 一 等于 多少	一 加 一 等 于 多 少
2	2	2	其它#其它	一般学生都无法回答这个问题	一般 学生 都 无法回答 这个 问题	一 般 学 生 都 无 法 回 答 这 个 问 题
3	3	3	其它#其它	一般学生都无法解决这个问题	一般 学生 都 无法 解决 这个 问题	一 般 学 生 都 无 法 解 决 这 个 问 题
4	4	4	其它#其它	一起吃顿饭吧	一起 吃 顿饭 吧	一 起 吃 顿 饭 吧
5	5	5	其它#其它	不用再多说了，我都明白了	不用 再 多 说 了 ， 我 都 明白 了	不 用 再 多 说 了 ， 我 都 明 白 了
6	6	6	其它#其它	么么哒	么 么 哒	么 么 哒
7	7	7	其它#其它	今天你开心吗	今天 你 开心 吗	今 天 你 开 心 吗
8	8	8	其它#其它	你不是能算出来吗	你 不是 能算 出来 吗	你 不 是 能 算 出 来 吗
9	9	9	其它#其它	你今天开心吗	你 今天 开心 吗	你 今 天 开 心 吗
10	10	10	其它#其它	你在做什么呢	你 在 做 什么 呢	你 在 做 什 么 呢
11	11	11	其它#其它	你在干嘛？你在干嘛	你 在 干嘛 ？ 你 在 干嘛	你 在 干 嘛 ？ 你 在 干 嘛
12	12	12	其它#其它	你开心吗	你 开心 吗	你 开 心 吗
13	13	13	其它#其它	你现在开心吗	你 现在 开心 吗	你 现 在 开 心 吗
14	14	14	其它#其它	你的心情不错哦	你 的 心情 不错 哦	你 的 心 情 不 错 哦
15	15	15	其它#其它	你的想法很独特哦	你 的 想法 很 独特 哦	你 的 想 法 很 独 特 哦
16	16	16	其它#其它	你看起来很开心嘛	你 看起来 很 开心 嘛	你 看 起 来 很 开 心 嘛
17	17	17	其它#其它	你过得好吗	你 过 得 好 吗	你 过 得 好 吗
18	18	18	其它#其它	你过的好吗	你 过 的 好 吗	你 过 的 好 吗
19	19	19	其它#其它	停一下	停 一下	停 一 下
20	20	20	其它#其它	先听我说一句	先 听 我 说 一句	先 听 我 说 一 句
21	21	21	其它#其它	再等一下把	再 等 一下 把	再 等 一 下 把
22	22	22	其它#其它	哎呀呀	哎呀呀	哎 呀 呀
23	23	23	其它#其它	喂喂，你开心吗	喂喂 ， 你 开心 吗	喂 喂 ， 你 开 心 吗
24	24	24	其它#其它	嗨，你过得愉快吗	嗨 ， 你 过 得 愉快 吗	嗨 ， 你 过 得 愉 快 吗
25	25	25	其它#其它	我不知道我会不会在手机上查询购买订单	我 不 知道 我会 不会 在 手机 上 查询 购买 订单	我 不 知 道 我 会 不 会 在 手 机 上 查 询 购 买 订 单
26	26	26	其它#其它	我不知道这部手机是否具备我希望的其他功能	我 不 知道 这 部手机 是否 具备 我 希望 的 其他 功能	我 不 知 道 这 部 手 机 是 否 具 备 我 希 望 的 其 他 功 能
