LABEL	SENTENCE
其它#骂人	你个屌丝
其它#骂人	靠，讲的话那么难听
其它#骂人	尼玛
其它#骂人	你好屌
其它#骂人	闭嘴
其它#骂人	弱智
其它#骂人	顶顶顶、顶顶顶、顶顶顶
其它#骂人	滚滚滚
其它#骂人	你妹啊，明明不是我
其它#骂人	妹的
其它#骂人	麻痹
其它#骂人	屌
其它#骂人	丫的
其它#骂人	去你的
其它#骂人	变态，老是讲那些东西
其它#骂人	妈逼
其它#骂人	尼玛，我对你无语了
其它#骂人	贱人，住嘴
其它#骂人	你们住嘴
其它#骂人	2B
其它#骂人	人渣
导购#不理解	怎么会
导购#不理解	你刚刚说的是怎么回事啊
导购#开始	你这里有没有智能手机买
导购#开始	给我介绍款手机
导购#开始	来买手机
导购#开始	来一款手机
导购#开始	你好，这里有什么手机卖
导购#开始	我想买手机
导购#开始	推荐一台手机给我
导购#开始	我想买新手机
导购#开始	我想要手机
导购#开始	介绍下新手机
导购#开始	手机怎么卖
导购#开始	我要买个新手机
导购#开始	我要一台新手机
导购#开始	你们这里有什么手机卖
导购#开始	有什么手机能卖给我
导购#成交	要四个
导购#成交	就是想要她
导购#成交	就这台
导购#成交	要五个
导购#成交	我要这个了
导购#成交	买
导购#成交	不错，我要买他
导购#成交	买买买
导购#成交	想买的就是她
导购#成交	好，就要他了
导购#成交	我买了
导购#成交	把它收回家
导购#成交	正是买它
导购#成交	我买这一部
导购#成交	买这个
导购#成交	要这个
导购#成交	就他吧
导购#成交	正是买他
导购#成交	带回家
导购#成交	敲定它
导购#成交	要这款
导购#成交	把他收回家
导购#成交	正是要他
导购#成交	要三个
导购#成交	想买的就是它
导购#成交	就它吧
导购#成交	买这部
导购#成交	就要他了
导购#成交	正是要它
导购#成交	要两款
导购#成交	把她带回家
导购#成交	挑中这台了
导购#成交	我要买
导购#成交	要了她
导购#成交	挑中这部手机
导购#成交	要两个
导购#更换	换一款来看看
导购#更换	还有其他手机吗
导购#更换	给我另一部手机
导购#更换	给我看另一台手机吧
导购#更换	推荐别的给我吧
导购#更换	还有别的手机吗
导购#更换	换一个给我吧
导购#更换	我想换另一台
导购#更换	还有其他的手机吗
导购#更换	我想要其他的
导购#更换	我想要其他的手机
导购#更换	我想要另一台手机
导购#更换	给我推荐其他的手机
导购#更换	换一台
导购#更换	我想要另一部手机
导购#结束	火车八点开，我恐怕现在得快点走
导购#结束	洗洗睡了
导购#结束	我想我最好现在就走。
导购#结束	别忘了我们的约会,明天见吧
导购#结束	我的朋友正准备走，我得去送他
导购#结束	抱歉，我不得不走了
导购#结束	我要去吃饭了
导购#结束	待会儿见
导购#结束	亲爱的，晚安
导购#结束	我们过些时候再聊
导购#结束	走了，去吃饭了
导购#结束	我不和你说了
导购#结束	下次见
导购#结束	没什么事我就先走了
导购#结束	这我们以后再谈
导购#结束	886
导购#结束	我们改天再解决这一争论好吗
导购#结束	不好意思，我现在就得走
导购#结束	拜拜了
导购#结束	不说了
导购#结束	告别语：再见、欢迎再来、祝您一路顺风、请再来
导购#结束	我们要暂时分别了
导购#结束	天黑了，我得走了
导购#结束	不送啦
导购#结束	真对不起，你们再聊，我不得不先走一步了
导购#结束	不聊了
导购#结束	是我该走的时候了，谢谢您陪我
导购#结束	我要说的都说完了
导购#结束	天色晚了，我得马上动身了
导购#结束	希望我们明天就能相逢
导购#结束	过得真愉快，谢谢您，再见
导购#结束	88
导购#结束	我有事先忙
导购#详情	具体介绍下
导购#详情	具体点讲
导购#详情	详细介绍下
导购#详情	具体怎样
导购#详情	有好的介绍吗
表态#不满	停停停
表态#不满	不理你了
表态#不满	哎呀呀，有种再说一句
表态#不满	我不和你玩了
表态#不满	我不喜欢这个
表态#不满	过分
表态#不满	不太满意
表态#不满	不喜欢这种
表态#不满	你们好过分
表态#不满	太差了
表态#不满	你怎么那么笨
表态#不满	好过分
表态#不满	不合胃口
表态#不满	好伤人的话啊
表态#不满	你不该来到这个世界上
表态#不满	不喜欢这个
表态#不满	够了！刚才的话把我惹火了
表态#不满	差劲
表态#否定	不用了
表态#否定	这样是不好的
表态#否定	你的观点是不行的
表态#否定	我认为你说的不对
表态#否定	我不认为你说得是对的
表态#否定	我认为你的做法不好
表态#否定	我不认为你的说法是对的
表态#否定	你说错了把
表态#否定	不太好
表态#否定	我不认为你做得好
表态#否定	不是我的菜
表态#否定	不要这个
表态#否定	我觉得这部手机不好
表态#否定	我否定你的做法
表态#否定	我认为你的想法是不好的
表态#否定	很普通
表态#否定	不要这款
表态#否定	我不认为你的观点是对的
表态#否定	不是
表态#否定	我不认为你的说法是行的
表态#否定	我认为你的说法是不行的
表态#否定	不要这个手机
表态#否定	我觉得这台手机不好
表态#否定	我不愿意
表态#否定	你的想法是不对的
表态#否定	你不能这样想
