	LABEL	SENTENCE
0	其它#其它	一个词来形容一下我
1	其它#其它	一加一等于多少
2	其它#其它	一般学生都无法回答这个问题
3	其它#其它	一般学生都无法解决这个问题
4	其它#其它	一起吃顿饭吧
5	其它#其它	不用再多说了，我都明白了
6	其它#其它	么么哒
7	其它#其它	今天你开心吗
8	其它#其它	你不是能算出来吗
9	其它#其它	你今天开心吗
10	其它#其它	你在做什么呢
11	其它#其它	你在干嘛？你在干嘛
12	其它#其它	你开心吗
13	其它#其它	你现在开心吗
14	其它#其它	你的心情不错哦
15	其它#其它	你的想法很独特哦
16	其它#其它	你看起来很开心嘛
17	其它#其它	你过得好吗
18	其它#其它	你过的好吗
19	其它#其它	停一下
20	其它#其它	先听我说一句
21	其它#其它	再等一下把
22	其它#其它	哎呀呀
23	其它#其它	喂喂，你开心吗
24	其它#其它	嗨，你过得愉快吗
25	其它#其它	我不知道我会不会在手机上查询购买订单
26	其它#其它	我不知道这部手机是否具备我希望的其他功能
27	其它#其它	我买这么多功能的手机会不会浪费
28	其它#其它	我们聊得挺投缘的嘛
29	其它#其它	我好像没有带够钱
30	其它#其它	我家人不知道同不同意我买手机
31	其它#其它	我想退货的时候到底能不能退呢
32	其它#其它	我插句话行不
33	其它#其它	我没有好的
34	其它#其它	我没有找借口
35	其它#其它	我没有说谎
36	其它#其它	我看看先
37	其它#其它	本来就是这样嘛
38	其它#其它	没你不行啊
39	其它#其它	用一个词来形容我
40	其它#其它	祝大家心想事成，万事如意
41	其它#其它	算了，我们换个话题
42	其它#捣乱	6666666
43	其它#捣乱	一句温馨的问候，一个轻轻的拥抱，一个浪漫的小插曲，都能给人一种清新愉悦的感受，就向一股暖流流入心底
44	其它#捣乱	下午几点到
45	其它#捣乱	下周什么时候
46	其它#捣乱	下雨就撑伞，流感就预防，生活没有什么过不去的坎，人就是要给点阳光就灿烂
47	其它#捣乱	不是你的错，很明显，是他干的
48	其它#捣乱	不知道明天有没有空
49	其它#捣乱	不要再犹豫不决了。不要总是思前顾后，否则你就给带来了根本就不存在的问题。先分析情况，然后果断地采取行动。你无法改变你不想面对的现实。取得进展就意味着承担风险
50	其它#捣乱	不要挑逗我
51	其它#捣乱	不要调戏我
52	其它#捣乱	不见去年人,景物却依旧,物是人非
53	其它#捣乱	两条路都不是通往车站
54	其它#捣乱	中国大还是美国大啊
55	其它#捣乱	为什么会生病
56	其它#捣乱	亲爱的朋友，原谅我渐渐少去的问候。有一种感情，不再浓烈，却一直存在。我们不能时时在身边，好像电话短信也少了，我们不能第一时间分享彼此的快乐与不快乐，好像变的冷漠沉默了。可是如果有一天，我们再遇见，亲爱的，那当初的一切不会变
57	其它#捣乱	什么时候能有女朋友
58	其它#捣乱	他们确实很般配
59	其它#捣乱	他们都不是我昨晚见到的那个人
60	其它#捣乱	他常常迈步向前，跃跃欲试，然而来到爱玛面前，这种决心很快也就烟消云散，不知去向
61	其它#捣乱	他确实很勤奋
62	其它#捣乱	他确实很帅
63	其它#捣乱	你不是对句中定语的否定
64	其它#捣乱	你们什么时候来到这里的
65	其它#捣乱	你喜欢那件衣服吗
66	其它#捣乱	你好，您点的XX菜现在已经买完了，您看还有XX菜和这道菜口味相似，您要不要来一份
67	其它#捣乱	你好，打扰一下，帮你加点汤
68	其它#捣乱	你家是什么时候装修的
69	其它#捣乱	你居然不知道韩红是谁
70	其它#捣乱	你把问题分析的很好，接下来交给我们办吧
71	其它#捣乱	你有没有看过这本书
72	其它#捣乱	你的歌声抒发了我美好的理想，我的琴音凝集了你无限的向往。愿我们合奏一首幸福曲
73	其它#捣乱	你看得到他吗
74	其它#捣乱	你看得到我吗
75	其它#捣乱	你知道华南农业大学在哪里吗
76	其它#捣乱	你知道这是什么歌吗
77	其它#捣乱	你能帮我抢生意吗
78	其它#捣乱	你能预测奥运会中国队能拿多少金牌吗
79	其它#捣乱	你若安好，便是晴天
80	其它#捣乱	你要去哪里
81	其它#捣乱	你要去哪里呀
82	其它#捣乱	你觉得她体重是多少
83	其它#捣乱	你觉得我帅不帅
84	其它#捣乱	你认不认识百度公司的创造人
85	其它#捣乱	你说的一点都没错，就是他干的
86	其它#捣乱	你说那支队伍会赢吗
87	其它#捣乱	你还有什么问题吗
88	其它#捣乱	你预测一下悟空的发挥吧
89	其它#捣乱	做朋友的绝对不会忘了你！送给你最真的祝福，让你有个暖暖的圣诞节。感动了吧！虽然只有3块钱，但也是个很棒的礼物
90	其它#捣乱	凉风飞舞着祝福，轻轻送上真挚的问候：愿快乐伴随，清凉一夏
91	其它#捣乱	别动，举起手来
92	其它#捣乱	别站在人生的十字路口徘徊不定，犹豫不决。人生就这麽一次未知的旅行，在乎的是沿途的风景和旅行的心情。不会因为你的停留尔美丽的风景终止，走过的路已经成为你背後的风景
93	其它#捣乱	别跟我谈感情
94	其它#捣乱	劝你一句，老朋友：别忘了乐极生悲这句话！但愿你一切都好
95	其它#捣乱	半个小时就可以
96	其它#捣乱	华丽的外表，往往掩盖着肮脏的灵魂，偶像派的明星，还有追星族的傻逼们
97	其它#捣乱	叔叔
98	其它#捣乱	句中的否定词没有作谓语中心语
99	其它#捣乱	可以给我么
100	其它#捣乱	可以载我一程吗
101	其它#捣乱	可能明天中午就可以
102	其它#捣乱	可能没那么快
103	其它#捣乱	可能要过几天才行
104	其它#捣乱	可能需要等两个星期
105	其它#捣乱	各种矛盾的心情，痛苦地绞缢着她
106	其它#捣乱	后来呢？怎么样了
107	其它#捣乱	喂，你要去哪里
108	其它#捣乱	喂，怎么没我的份
109	其它#捣乱	嘿，我的呢
110	其它#捣乱	在他的灵魂里，两种感情，恶与答的感情，受了侮辱的自尊心与对这个受苦的女人的怜悯心，正在交战
111	其它#捣乱	在内心深处，总有一个身影徘徊，总有一个声音问候，无论何时想起，温暖随时都能感应
